"Story","Title","Result","Date","Stability","Duration (s)"
"LEX: Ampliacion campo Numero documento de identidad","Menu Agendas / Opcion Agenda por usuario","SUCCESS","2020-08-31T16:09:18.506-05:00[America/Bogota]","0.0","89.57"
"LEX: Ampliacion campo Numero documento de identidad","Menu Consultas / Opcion Ingresar consulta","SUCCESS","2020-08-31T16:10:48.078-05:00[America/Bogota]","0.0","84.73"
