"Story","Title","Result","Date","Stability","Duration (s)"
"LEX -> Desacoplamiento","Menu Estudiantes/Opcion Clasificacion estudiantes / Consultar Estudiante","SUCCESS","2020-08-31T16:03:47.753-05:00[America/Bogota]","0.0","26.43"
"LEX -> Desacoplamiento","Menu Estudiantes/Opcion Evaluacion estudiantes","SUCCESS","2020-08-31T16:04:28.057-05:00[America/Bogota]","0.0","12.59"
"LEX: Ampliacion campo Numero documento de identidad","Menu Agendas / Opcion Agenda por usuario","SUCCESS","2020-08-31T16:09:18.506-05:00[America/Bogota]","0.0","89.57"
